#"Step" "Time (ps)" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Box Volume (nm^3)" "Density (g/mL)" "Speed (ns/day)"
66 0.1320000000000001 -45.0860396747139 29.65943399512591 -15.426605679587993 139.89058728737578 1000.0 0.00023940988054885654 82.6
67 0.1340000000000001 -44.01127833720292 23.641203761849848 -20.37007457535307 111.50522558755434 1000.0 0.00023940988054885654 83.3
68 0.1360000000000001 -49.84949662240684 25.33703504606393 -24.512461576342908 119.50372058000761 1000.0 0.00023940988054885654 83.9
69 0.1380000000000001 -53.29869252047987 30.684598652194502 -22.614093868285366 144.72584091922707 1000.0 0.00023940988054885654 84.6
70 0.1400000000000001 -51.624669324642156 30.817022367291937 -20.80764695735022 145.35042570661042 1000.0 0.00023940988054885654 85.3
71 0.1420000000000001 -49.54014345852019 29.154402767970662 -20.38574069054953 137.50857571639224 1000.0 0.00023940988054885654 85.9
72 0.1440000000000001 -49.30555366883923 28.666591222963376 -20.638962445875855 135.20778186011552 1000.0 0.00023940988054885654 86.5
73 0.1460000000000001 -48.9062479235677 28.55789738517923 -20.348350538388466 134.69512053270643 1000.0 0.00023940988054885654 87.2
74 0.1480000000000001 -47.75949687640693 27.346894605469558 -20.41260227093737 128.98334969823702 1000.0 0.00023940988054885654 87.8
75 0.1500000000000001 -50.00136794160979 27.11357576677959 -22.887792174830203 127.88288670980266 1000.0 0.00023940988054885654 88.5
76 0.1520000000000001 -57.42873862732549 33.0829332644652 -24.34580536286029 156.03773707602235 1000.0 0.00023940988054885654 88.9
77 0.1540000000000001 -64.45639422055528 40.80686009965115 -23.64953412090413 192.46812416016056 1000.0 0.00023940988054885654 89.6
78 0.1560000000000001 -65.55252418987816 43.03617683514861 -22.516347354729547 202.98283686268766 1000.0 0.00023940988054885654 90.2
79 0.1580000000000001 -62.03305328380211 42.24119744612343 -19.791855837678682 199.2332665360804 1000.0 0.00023940988054885654 90.9
80 0.16000000000000011 -57.693296269044566 40.074954617264844 -17.618341651779723 189.0160458842671 1000.0 0.00023940988054885654 91.4
81 0.16200000000000012 -55.47360039068252 34.92569082860592 -20.547909562076597 164.72921911570873 1000.0 0.00023940988054885654 91.8
82 0.16400000000000012 -54.81983657364761 33.01000253611063 -21.80983403753698 155.69375470527004 1000.0 0.00023940988054885654 92.3
83 0.16600000000000012 -53.39410306486361 30.523106135779933 -22.870996929083674 143.9641513007582 1000.0 0.00023940988054885654 92.9
84 0.16800000000000012 -52.550945609973525 30.35073083053477 -22.200214779438756 143.15113232377604 1000.0 0.00023940988054885654 93.4
85 0.17000000000000012 -55.07490524353936 30.65809815655252 -24.416807086986843 144.60084966351488 1000.0 0.00023940988054885654 93.9
86 0.17200000000000013 -59.5856540098528 34.39707944045855 -25.188574569394255 162.23599023120326 1000.0 0.00023940988054885654 94.3
87 0.17400000000000013 -59.96350841947948 37.364668751526615 -22.598839667952866 176.2328120053906 1000.0 0.00023940988054885654 94.8
88 0.17600000000000013 -54.91769982086528 32.01363287970415 -22.904066941161133 150.99431450648098 1000.0 0.00023940988054885654 95.2
89 0.17800000000000013 -51.59249888905349 26.646635488350285 -24.945863400703203 125.680533496038 1000.0 0.00023940988054885654 95.8
90 0.18000000000000013 -55.03152980871834 26.488965694579097 -28.542564114139243 124.93687398952972 1000.0 0.00023940988054885654 96.4
91 0.18200000000000013 -61.98538135061193 31.575246100182543 -30.410135250429388 148.92663566755317 1000.0 0.00023940988054885654 96.7
92 0.18400000000000014 -66.6683978652651 37.88272622809886 -28.785671637166246 178.6762627016587 1000.0 0.00023940988054885654 97.1
93 0.18600000000000014 -66.69209364439911 40.41915733382801 -26.272936310571097 190.6394996620379 1000.0 0.00023940988054885654 97.7
94 0.18800000000000014 -64.4971015417974 37.898227981569136 -26.59887356022827 178.74937769762582 1000.0 0.00023940988054885654 98.2
95 0.19000000000000014 -62.240462858983356 35.746698453592565 -26.49376440539079 168.60155325551966 1000.0 0.00023940988054885654 98.7
96 0.19200000000000014 -59.121186242667946 35.52070149559469 -23.600484747073253 167.5356243782296 1000.0 0.00023940988054885654 99
97 0.19400000000000014 -55.470156157066896 30.72396457535144 -24.746191581715454 144.91151277360026 1000.0 0.00023940988054885654 99.5
98 0.19600000000000015 -55.38323229418357 28.710555622398022 -26.67267667178555 135.41514271729372 1000.0 0.00023940988054885654 100
99 0.19800000000000015 -59.44274335467795 31.687931550006667 -27.754811804671284 149.45812368439223 1000.0 0.00023940988054885654 100
100 0.20000000000000015 -62.090502971615365 36.12641507499515 -25.964087896620214 170.39251060081207 1000.0 0.00023940988054885654 101
101 0.20200000000000015 -59.48983801249123 34.50700956108462 -24.982828451406604 162.75448256445145 1000.0 0.00023940988054885654 101
